,size,system,circularity,stage,produce,produce2,yield,yield2
V2,9665,UF4,0.6666666666666666,1,small veg,,965533.5,
V3,8429,UF8,1.0,1,small veg,,736694.6000000001,
V5,8061,UF2,1.0,1,fish,,120915.0,
V8,5436,UF4,0.3333333333333333,1,small veg,,543056.4,
V22,2440,UF4,0.6666666666666666,1,small veg,,243756.0,
V24,2167,UF4,0.6666666666666666,1,small veg,,216483.30000000002,
V27,2111,UF4,0.3333333333333333,1,small veg,,210888.90000000002,
V40,1354,UF4,0.3333333333333333,1,small veg,,135264.6,
V44,1233,UF4,0.3333333333333333,1,small veg,,123176.70000000001,
V66,871,UF3,0.3333333333333333,1,mushroom,,108875.0,
V72,741,UF4,0.3333333333333333,1,small veg,,74025.90000000001,
V131,137,UF4,0.3333333333333333,1,small veg,,13686.300000000001,
V136,103,UF4,0.5,1,small veg,,10289.7,
V23,2245,UF3,0.5,2,mushroom,,280625.0,
V21,2541,UF3,0.5,3,mushroom,,317625.0,
V0,31174,UF6,0.0,4,small veg,big veg,389675.0,84169.8
V1,23824,UF6,0.0,4,small veg,big veg,297800.0,64324.8
V4,8272,UF6,0.0,4,small veg,big veg,103400.0,22334.4
V6,6439,UF1,1.0,4,worm,,31357.93,
V9,4880,UF6,0.0,4,small veg,big veg,61000.0,13176.0
V10,4720,UF6,0.0,4,small veg,big veg,59000.0,12744.0
V11,4436,UF6,0.0,4,small veg,big veg,55450.0,11977.2
V12,3912,UF4,0.0,4,small veg,,390808.80000000005,
V14,3795,UF6,0.0,4,small veg,big veg,47437.5,10246.5
V15,3414,UF6,0.0,4,small veg,big veg,42675.0,9217.800000000001
V16,3321,UF6,0.0,4,small veg,big veg,41512.5,8966.7
V17,3035,UF6,0.0,4,small veg,big veg,37937.5,8194.5
V18,2707,UF6,0.0,4,small veg,big veg,33837.5,7308.900000000001
V19,2570,UF4,0.0,4,small veg,,256743.00000000003,
V25,2144,UF4,0.0,4,small veg,,214185.6,
V26,2139,UF4,0.0,4,small veg,,213686.1,
V28,2093,UF1,1.0,4,worm,,10192.91,
V29,1954,UF3,0.25,4,mushroom,,244250.0,
V30,1942,UF6,0.0,4,small veg,big veg,24275.0,5243.400000000001
V31,1921,UF6,0.0,4,small veg,big veg,24012.5,5186.700000000001
V32,1665,UF6,0.0,4,small veg,big veg,20812.5,4495.5
V33,1658,UF6,0.0,4,small veg,big veg,20725.0,4476.6
V35,1597,UF6,0.0,4,small veg,big veg,19962.5,4311.900000000001
V36,1578,UF4,0.0,4,small veg,,157642.2,
V37,1572,UF3,0.4,4,mushroom,,196500.0,
V38,1501,UF4,0.0,4,small veg,,149949.9,
