,size,system,produce,produce2,yield,yield2
V2,9665,UF4,small veg,,965533.5,
V3,8429,UF8,small veg,,736694.6000000001,
V5,8061,UF2,fish,,120915.0,
V8,5436,UF4,small veg,,543056.4,
V22,2440,UF4,small veg,,243756.0,
V24,2167,UF4,small veg,,216483.30000000002,
V27,2111,UF4,small veg,,210888.90000000002,
V40,1354,UF4,small veg,,135264.6,
V44,1233,UF4,small veg,,123176.70000000001,
V66,871,UF6,small veg,big veg,10887.5,2351.7000000000003
V72,741,UF4,small veg,,74025.90000000001,
V131,137,UF4,small veg,,13686.300000000001,
V136,103,UF4,small veg,,10289.7,
V53,1034,UF6,small veg,big veg,12925.0,2791.8
V1,23824,UF6,small veg,big veg,297800.0,64324.8
V67,849,UF6,small veg,big veg,10612.5,2292.3
V0,31174,UF6,small veg,big veg,389675.0,84169.8
V4,8272,UF6,small veg,big veg,103400.0,22334.4
V6,6439,UF1,worm,,31357.93,
V7,6015,UF6,small veg,big veg,75187.5,16240.500000000002
V9,4880,UF6,small veg,big veg,61000.0,13176.0
V10,4720,UF6,small veg,big veg,59000.0,12744.0
V11,4436,UF1,worm,,21603.32,
V13,3860,UF6,small veg,big veg,48250.0,10422.0
V14,3795,UF1,worm,,18481.65,
V15,3414,UF6,small veg,big veg,42675.0,9217.800000000001
V16,3321,UF6,small veg,big veg,41512.5,8966.7
V17,3035,UF1,worm,,14780.45,
V18,2707,UF6,small veg,big veg,33837.5,7308.900000000001
V20,2542,UF6,small veg,big veg,31775.0,6863.400000000001
V21,2541,UF6,small veg,big veg,31762.5,6860.700000000001
V28,2093,UF1,worm,,10192.91,
V29,1954,UF6,small veg,big veg,24425.0,5275.8
V30,1942,UF6,small veg,big veg,24275.0,5243.400000000001
V31,1921,UF6,small veg,big veg,24012.5,5186.700000000001
V32,1665,UF6,small veg,big veg,20812.5,4495.5
V33,1658,UF6,small veg,big veg,20725.0,4476.6
V34,1610,UF6,small veg,big veg,20125.0,4347.0
V35,1597,UF1,worm,,7777.39,
V37,1572,UF6,small veg,big veg,19650.0,4244.400000000001
V41,1340,UF6,small veg,big veg,16750.0,3618.0000000000005
V42,1288,UF6,small veg,big veg,16100.0,3477.6000000000004
V43,1275,UF6,small veg,big veg,15937.5,3442.5
V45,1231,UF6,small veg,big veg,15387.5,3323.7000000000003
V46,1153,UF6,small veg,big veg,14412.5,3113.1000000000004
V48,1130,UF6,small veg,big veg,14125.0,3051.0
V49,1091,UF6,small veg,big veg,13637.5,2945.7000000000003
V50,1060,UF6,small veg,big veg,13250.0,2862.0
V55,937,UF6,small veg,big veg,11712.5,2529.9
V56,886,UF6,small veg,big veg,11075.0,2392.2000000000003
V65,884,UF6,small veg,big veg,11050.0,2386.8
V70,784,UF6,small veg,big veg,9800.0,2116.8
V73,735,UF6,small veg,big veg,9187.5,1984.5000000000002
V76,694,UF6,small veg,big veg,8675.0,1873.8000000000002
V77,669,UF6,small veg,big veg,8362.5,1806.3000000000002
V80,619,UF6,small veg,big veg,7737.5,1671.3000000000002
V81,603,UF6,small veg,big veg,7537.5,1628.1000000000001
V82,566,UF6,small veg,big veg,7075.0,1528.2
V83,560,UF6,small veg,big veg,7000.0,1512.0
V84,559,UF6,small veg,big veg,6987.5,1509.3000000000002
V86,545,UF6,small veg,big veg,6812.5,1471.5
V89,501,UF6,small veg,big veg,6262.5,1352.7
V90,494,UF6,small veg,big veg,6175.0,1333.8000000000002
V93,473,UF1,worm,,2303.51,
V95,439,UF1,worm,,2137.93,
V96,436,UF6,small veg,big veg,5450.0,1177.2
V98,388,UF6,small veg,big veg,4850.0,1047.6000000000001
V99,387,UF6,small veg,big veg,4837.5,1044.9
V100,373,UF6,small veg,big veg,4662.5,1007.1
V101,371,UF1,worm,,1806.77,
V104,338,UF6,small veg,big veg,4225.0,912.6
V105,338,UF6,small veg,big veg,4225.0,912.6
V107,319,UF6,small veg,big veg,3987.5,861.3000000000001
V109,307,UF6,small veg,big veg,3837.5,828.9000000000001
V111,285,UF6,small veg,big veg,3562.5,769.5
V112,273,UF6,small veg,big veg,3412.5,737.1
V114,248,UF6,small veg,big veg,3100.0,669.6
V116,221,UF6,small veg,big veg,2762.5,596.7
V119,209,UF6,small veg,big veg,2612.5,564.3000000000001
V120,202,UF6,small veg,big veg,2525.0,545.4000000000001
V123,191,UF6,small veg,big veg,2387.5,515.7
V124,185,UF6,small veg,big veg,2312.5,499.50000000000006
V126,177,UF6,small veg,big veg,2212.5,477.90000000000003
V130,147,UF6,small veg,big veg,1837.5,396.90000000000003
V132,137,UF6,small veg,big veg,1712.5,369.90000000000003
V134,107,UF6,small veg,big veg,1337.5,288.90000000000003
V137,84,UF1,worm,,409.08,
V139,73,UF1,worm,,355.51,
V140,56,UF1,worm,,272.72,
V141,54,UF6,small veg,big veg,675.0,145.8
V142,47,UF1,worm,,228.89000000000001,
V143,45,UF6,small veg,big veg,562.5,121.50000000000001
V145,17,UF6,small veg,big veg,212.5,45.900000000000006
